P_SEQ,M_SEQ,M_NAME,A_SEQ,A_NAME,A_UNIT,A_PRICE,P_YEAR_MONTH,ADD_COL,M_TYPE_CODE,M_TYPE_NAME,M_GU_CODE,M_GU_NAME
321609,72,금남시장,311,오이(다다기),1개,333,Jul-12,6개 2000,1,전통시장,200000,성동구
321610,72,금남시장,312,애호박,1개,700,Jul-12,,1,전통시장,200000,성동구
321611,72,금남시장,52,돼지고기(삼겹살),600g,16200,Jul-12,2700원 100g,1,전통시장,200000,성동구
321612,72,금남시장,58,"쇠고기(한우,불고기)",600g,20000,Jul-12,,1,전통시장,200000,성동구
321613,72,금남시장,283,닭고기(육계),1마리(1kg),6000,Jul-12,,1,전통시장,200000,성동구
321614,72,금남시장,134,달걀(왕란),10개,1800,Jul-12,30개 5600,1,전통시장,200000,성동구
321615,72,금남시장,136,"조기(국산,생물)",1마리(cm),2000,Jul-12,,1,전통시장,200000,성동구
321616,72,금남시장,315,"명태(45cm,수입산)",1마리,0,Jul-12,미입고,1,전통시장,200000,성동구
321617,72,금남시장,256,"오징어(냉동,국산)",1마리,2500,Jul-12,국산,1,전통시장,200000,성동구
321618,72,금남시장,316,"고등어(30cm,국산)",1마리,1000,Jul-12,작은거,1,전통시장,200000,성동구
321683,45,롯데백화점 강남점,305,"사과(부사, 300g)",1개,6300,Jul-12,푸름(포항) ,2,대형마트,680000,강남구
321684,45,롯데백화점 강남점,276,배(신고),1개,10500,Jul-12,푸름(평택),2,대형마트,680000,강남구
321685,45,롯데백화점 강남점,26,배추,1포기,0,Jul-12,입고안됨,2,대형마트,680000,강남구
321686,45,롯데백화점 강남점,25,무,0.5개,2180,Jul-12,,2,대형마트,680000,강남구
321687,45,롯데백화점 강남점,24,양파,1망(8入),4980,Jul-12,햇양파(무안),2,대형마트,680000,강남구
321688,45,롯데백화점 강남점,23,상추,120g,2850,Jul-12,친환경청상추,2,대형마트,680000,강남구
321689,45,롯데백화점 강남점,22,오이,1개,596,Jul-12,5개\2980,2,대형마트,680000,강남구
321690,45,롯데백화점 강남점,312,애호박,1개,1490,Jul-12,"2입 \2,980",2,대형마트,680000,강남구
321691,45,롯데백화점 강남점,58,"쇠고기(한우,불고기)",600g,17880,Jul-12,삼도명가,2,대형마트,680000,강남구
321692,45,롯데백화점 강남점,99,돼지고기(생삼겹살),600g,25740,Jul-12,제주,2,대형마트,680000,강남구
321693,45,롯데백화점 강남점,283,닭고기(육계),1.1kg,15800,Jul-12,하림참진토종닭,2,대형마트,680000,강남구
321694,45,롯데백화점 강남점,181,달걀(왕란),10개,3000,Jul-12,슈퍼란,2,대형마트,680000,강남구
321695,45,롯데백화점 강남점,260,"조기(냉동,수입산)",1마리(25cm),8000,Jul-12,참조기,2,대형마트,680000,강남구
321696,45,롯데백화점 강남점,288,동태,1마리,0,Jul-12,입고안됨,2,대형마트,680000,강남구
321697,45,롯데백화점 강남점,266,"고등어(생물,국산)",1마리,6800,Jul-12,국내산,2,대형마트,680000,강남구
321698,45,롯데백화점 강남점,256,"오징어(냉동,국산)",1마리,3400,Jul-12,"小2미 \6,800",2,대형마트,680000,강남구
321699,216,도곡시장,28,사과,1개,2000,Jul-12,,1,전통시장,680000,강남구
321700,216,도곡시장,276,배(신고),1개,2800,Jul-12,,1,전통시장,680000,강남구
321701,216,도곡시장,26,배추,1포기,3266,Jul-12,"국내산 3개 \9,800",1,전통시장,680000,강남구
321702,216,도곡시장,308,무(1kg),1개,2480,Jul-12,국내산,1,전통시장,680000,강남구
321703,216,도곡시장,272,양파(작은망),1망(5kg),2680,Jul-12,국내산,1,전통시장,680000,강남구
321704,216,도곡시장,310,상추(100g),100g,780,Jul-12,국내산,1,전통시장,680000,강남구
321705,216,도곡시장,311,오이(다다기),1개,740,Jul-12,2개 \1480,1,전통시장,680000,강남구
321706,216,도곡시장,312,애호박,1개,980,Jul-12,포천,1,전통시장,680000,강남구
321707,216,도곡시장,58,"쇠고기(한우,불고기)",600g(1등급),19800,Jul-12,국내산,1,전통시장,680000,강남구
321708,216,도곡시장,99,돼지고기(생삼겹살),600g,13880,Jul-12,하이포크,1,전통시장,680000,강남구
321709,216,도곡시장,283,닭고기(육계),1050g,5900,Jul-12,하림자연실록,1,전통시장,680000,강남구
321710,216,도곡시장,134,달걀(왕란),10구,2950,Jul-12,신선란,1,전통시장,680000,강남구
321711,216,도곡시장,136,"조기(국산,생물)",15cm,990,Jul-12,10미 \10000 참조기,1,전통시장,680000,강남구
321712,216,도곡시장,288,동태,1마리,4900,Jul-12,국내산 (생),1,전통시장,680000,강남구
321713,216,도곡시장,266,"고등어(생물,국산)",1마리,5000,Jul-12,국내산,1,전통시장,680000,강남구
321714,216,도곡시장,254,"오징어(생물,국산)",1마리,3500,Jul-12,2미 \7000,1,전통시장,680000,강남구
321811,88,롯데백화점 청량리점,279,사과(중품),1개,4333,Jul-12,국산  3개 13000원,2,대형마트,230000,동대문구
321812,88,롯데백화점 청량리점,306,"배(신고, 600g)",1개,3133,Jul-12,신고  6개 18800원,2,대형마트,230000,동대문구
321813,88,롯데백화점 청량리점,307,배추(2.5~3kg),1포기,2500,Jul-12,솎음베추,2,대형마트,230000,동대문구
321814,88,롯데백화점 청량리점,308,무(1kg),1포기,3200,Jul-12,제주,2,대형마트,230000,동대문구
321815,88,롯데백화점 청량리점,24,양파,1망(1.5kg),4500,Jul-12,무안,2,대형마트,230000,동대문구
321816,88,롯데백화점 청량리점,310,상추(100g),100g,750,Jul-12,국산,2,대형마트,230000,동대문구
321817,88,롯데백화점 청량리점,311,오이(다다기),1개,600,Jul-12,국산  ,2,대형마트,230000,동대문구
321818,88,롯데백화점 청량리점,312,애호박,1개,1000,Jul-12,바이오애호박,2,대형마트,230000,동대문구
321819,88,롯데백화점 청량리점,58,"쇠고기(한우,불고기)",600g(1등급),19800,Jul-12,국내산 1+ 행사,2,대형마트,230000,동대문구
321820,88,롯데백화점 청량리점,202,돼지고기(생삼겹살),600g,21540,Jul-12,국내산 제주,2,대형마트,230000,동대문구
321821,88,롯데백화점 청량리점,283,닭고기(육계),1마리(830g),15000,Jul-12,하림 ,2,대형마트,230000,동대문구
321822,88,롯데백화점 청량리점,17,달걀,10개,4300,Jul-12,풀무원,2,대형마트,230000,동대문구
321823,88,롯데백화점 청량리점,144,"조기(국산,냉동)",1마리(20cm),0,Jul-12,없음,2,대형마트,230000,동대문구
321824,88,롯데백화점 청량리점,265,"명태(생물,수입산)",1마리(45cm),0,Jul-12,없음,2,대형마트,230000,동대문구
321825,88,롯데백화점 청량리점,256,"오징어(냉동,국산)",1마리(20cm),2500,Jul-12,생물 국산,2,대형마트,230000,동대문구
321826,88,롯데백화점 청량리점,266,"고등어(생물,국산)",1마리(30cm),6000,Jul-12,생물 고등어,2,대형마트,230000,동대문구
322051,90,우림시장,305,"사과(부사, 300g)",1개,2000,Jul-12,사과,1,전통시장,260000,중랑구
322052,90,우림시장,306,"배(신고, 600g)",1개,2500,Jul-12,신고배,1,전통시장,260000,중랑구
322053,90,우림시장,307,배추(2.5~3kg),1포기,3000,Jul-12,국산,1,전통시장,260000,중랑구
322054,90,우림시장,308,무(1kg),1개,1500,Jul-12,제주무,1,전통시장,260000,중랑구
322055,90,우림시장,309,양파(1.5kg망),1망,1500,Jul-12,무안양파,1,전통시장,260000,중랑구
322056,90,우림시장,23,상추,100g,500,Jul-12,적상추,1,전통시장,260000,중랑구
322057,90,우림시장,311,오이(다다기),1개,200,Jul-12,"오이5개1,000원",1,전통시장,260000,중랑구
322058,90,우림시장,312,애호박,1개,333,Jul-12,"3개1,000원진주애호박",1,전통시장,260000,중랑구
322059,90,우림시장,58,"쇠고기(한우,불고기)",600g(1등급),18500,Jul-12,"설도, 농협안심축산물",1,전통시장,260000,중랑구
322060,90,우림시장,99,돼지고기(생삼겹살),600g,9800,Jul-12,국내산삼겹살,1,전통시장,260000,중랑구
322061,90,우림시장,283,닭고기(육계),1마리,5900,Jul-12,하림닭11호,1,전통시장,260000,중랑구
322062,90,우림시장,181,달걀(왕란),10개,1800,Jul-12,농협왕란,1,전통시장,260000,중랑구
322063,90,우림시장,136,"조기(국산,생물)",1마리(15cm),1250,Jul-12,"제주8마리10,000원",1,전통시장,260000,중랑구
322064,90,우림시장,264,"명태(냉동,수입산)",1마리(45cm),2000,Jul-12,북태평양,1,전통시장,260000,중랑구
322065,90,우림시장,254,"오징어(생물,국산)",1마리(25cm),2500,Jul-12,동해,1,전통시장,260000,중랑구
322066,90,우림시장,266,"고등어(생물,국산)",1마리(30cm),3500,Jul-12,대,1,전통시장,260000,중랑구
322067,92,이마트 상봉점,270,"사과(부사),중급(중)",1개,1650,Jul-12,청송사과6개9900원,2,대형마트,260000,중랑구
322068,92,이마트 상봉점,306,"배(신고, 600g)",1개,3200,Jul-12,당찬배4개12800,2,대형마트,260000,중랑구
322069,92,이마트 상봉점,26,배추,배추1포기(2kg),2980,Jul-12,배추,2,대형마트,260000,중랑구
322070,92,이마트 상봉점,308,무(1kg),1개,2180,Jul-12,햇무,2,대형마트,260000,중랑구
322071,92,이마트 상봉점,24,양파,1망(1.5kg),2980,Jul-12,전남무안햇양파,2,대형마트,260000,중랑구
322072,92,이마트 상봉점,23,상추,150g,1540,Jul-12,예냉적상추150g,2,대형마트,260000,중랑구
322073,92,이마트 상봉점,311,오이(다다기),1개,593,Jul-12,다다기3개1780,2,대형마트,260000,중랑구
322074,92,이마트 상봉점,119,호박(인큐베이터),1개,980,Jul-12,구례,2,대형마트,260000,중랑구
322075,92,이마트 상봉점,58,"쇠고기(한우,불고기)",600g(1등급),25200,Jul-12,횡성(100g 4200원),2,대형마트,260000,중랑구
322076,92,이마트 상봉점,99,돼지고기(생삼겹살),600g,11700,Jul-12,100g 1950원,2,대형마트,260000,중랑구
322077,92,이마트 상봉점,283,닭고기(육계),1마리(1kg),6980,Jul-12,하림11호,2,대형마트,260000,중랑구
322078,92,이마트 상봉점,171,달걀(특란),10개,2000,Jul-12,난이생생,2,대형마트,260000,중랑구
322079,92,이마트 상봉점,260,"조기(냉동,수입산)",1마리(15cm),1280,Jul-12,중국산5마리6400,2,대형마트,260000,중랑구
322080,92,이마트 상봉점,264,"명태(냉동,수입산)",1마리(45cm),1480,Jul-12,동태,2,대형마트,260000,중랑구
322081,92,이마트 상봉점,256,"오징어(냉동,국산)",1마리(25cm),2980,Jul-12,동해.선동,2,대형마트,260000,중랑구
322082,92,이마트 상봉점,266,"고등어(생물,국산)",1마리(22cm),2980,Jul-12,대(생물),2,대형마트,260000,중랑구
322115,134,신원시장,305,"사과(부사, 300g)",1개,4000,Jul-12,충북부사(대),1,전통시장,620000,관악구
322116,134,신원시장,306,"배(신고, 600g)",1개,5000,Jul-12,천안신고배(대),1,전통시장,620000,관악구
322117,134,신원시장,307,배추(2.5~3kg),1포기,2333,Jul-12,"국산햇배추1망7,000원",1,전통시장,620000,관악구
322118,134,신원시장,308,무(1kg),1개,1500,Jul-12,햇무우,1,전통시장,620000,관악구
322119,134,신원시장,272,양파(작은망),1망,3000,Jul-12,무안(중망),1,전통시장,620000,관악구
322120,134,신원시장,310,상추(100g),100g,750,Jul-12,"국산 400g3,000원",1,전통시장,620000,관악구
322121,134,신원시장,311,오이(다다기),1개,333,Jul-12,"국산3개1,000원",1,전통시장,620000,관악구
322122,134,신원시장,312,애호박,1개,666,Jul-12,"애호박3개2,000원",1,전통시장,620000,관악구
322123,134,신원시장,82,"쇠고기(육우,불고기)",600g(1+등급),20000,Jul-12,음성농협,1,전통시장,620000,관악구
322124,134,신원시장,52,돼지고기(삼겹살),600g,14000,Jul-12,음성농협,1,전통시장,620000,관악구
322125,134,신원시장,18,닭고기,1마리(1kg),6500,Jul-12,하림,1,전통시장,620000,관악구
322126,134,신원시장,134,달걀(왕란),10개,2500,Jul-12,영양란,1,전통시장,620000,관악구
322127,134,신원시장,260,"조기(냉동,수입산)",1마리,4000,Jul-12,부세중국산,1,전통시장,620000,관악구
322128,134,신원시장,152,"명태(러시아,냉동)",1마리,4000,Jul-12,러시아산,1,전통시장,620000,관악구
322129,134,신원시장,256,"오징어(냉동,국산)",1마리,2500,Jul-12,"국산2마리5,000원",1,전통시장,620000,관악구
322130,134,신원시장,268,"고등어(냉동,국산)",1마리,1666,Jul-12,국산3마리5000,1,전통시장,620000,관악구
322131,94,홈플러스 면목점,50,사과(부사),1개,1745,Jul-12,청송(4개6980원),2,대형마트,260000,중랑구
322132,94,홈플러스 면목점,281,"배(중품),신고",1개,2410,Jul-12,홈플좋은배3개7230원,2,대형마트,260000,중랑구
322133,94,홈플러스 면목점,271,배추(중간),1포기,2080,Jul-12,홈플좋은상품,2,대형마트,260000,중랑구
322134,94,홈플러스 면목점,308,무(1kg),1개,2880,Jul-12,제주햇무 ,2,대형마트,260000,중랑구
322135,94,홈플러스 면목점,24,양파,1망(1.8kg),2480,Jul-12,신미네유통,2,대형마트,260000,중랑구
322136,94,홈플러스 면목점,23,상추,160g,980,Jul-12,적상추,2,대형마트,260000,중랑구
322137,94,홈플러스 면목점,311,오이(다다기),1개,480,Jul-12,경기용인,2,대형마트,260000,중랑구
322138,94,홈플러스 면목점,119,호박(인큐베이터),1개,680,Jul-12,충남부여웰빙애호박,2,대형마트,260000,중랑구
322139,94,홈플러스 면목점,58,"쇠고기(한우,불고기)",600g (1등급),22800,Jul-12,으뜸선한우(100g3800원),2,대형마트,260000,중랑구
322140,94,홈플러스 면목점,99,돼지고기(생삼겹살),600g,7020,Jul-12,선진포크(100g1170원),2,대형마트,260000,중랑구
322141,94,홈플러스 면목점,283,닭고기(육계),1마리(1kg),6980,Jul-12,홈플러스,2,대형마트,260000,중랑구
322142,94,홈플러스 면목점,134,달걀(왕란),10개,2150,Jul-12,친환경신선특란,2,대형마트,260000,중랑구
322143,94,홈플러스 면목점,136,"조기(국산,생물)",1마리(20cm),1480,Jul-12,제주,2,대형마트,260000,중랑구
322144,94,홈플러스 면목점,264,"명태(냉동,수입산)",1마리(30cm),1780,Jul-12,러시아(중),2,대형마트,260000,중랑구
322145,94,홈플러스 면목점,257,"오징어(냉동,수입산)",1마리(25cm),2580,Jul-12,노르웨이,2,대형마트,260000,중랑구
322146,94,홈플러스 면목점,266,"고등어(생물,국산)",1마리(22cm),3480,Jul-12,대,2,대형마트,260000,중랑구
322163,215,청담삼익시장,28,사과,1개,2700,Jul-12,"웰빙5개\13,500",1,전통시장,680000,강남구
322164,215,청담삼익시장,276,배(신고),1개(600g),4633,Jul-12,"3입 \13,900",1,전통시장,680000,강남구
322165,215,청담삼익시장,26,배추,1포기,3800,Jul-12,국내산,1,전통시장,680000,강남구
322166,215,청담삼익시장,308,무(1kg),1개,3480,Jul-12,국내산,1,전통시장,680000,강남구
322167,215,청담삼익시장,272,양파(작은망),1.5kg,3380,Jul-12,국내산,1,전통시장,680000,강남구
322168,215,청담삼익시장,23,상추,100g,1290,Jul-12,유기농쌈류,1,전통시장,680000,강남구
322169,215,청담삼익시장,311,오이(다다기),1개,660,Jul-12,"3개 \1,980",1,전통시장,680000,강남구
322170,215,청담삼익시장,312,애호박,1개,1190,Jul-12,바이오,1,전통시장,680000,강남구
322171,215,청담삼익시장,58,"쇠고기(한우,불고기)",600g,23280,Jul-12,국내산,1,전통시장,680000,강남구
322172,215,청담삼익시장,99,돼지고기(생삼겹살),600g ,14880,Jul-12,도드람포크,1,전통시장,680000,강남구
322173,215,청담삼익시장,18,닭고기,1마리(1050g),6180,Jul-12,하림자연실록 ,1,전통시장,680000,강남구
322174,215,청담삼익시장,134,달걀(왕란),10개,2980,Jul-12,영양란,1,전통시장,680000,강남구
322175,215,청담삼익시장,136,"조기(국산,생물)",1마리(25cm),9950,Jul-12,4미 \39800,1,전통시장,680000,강남구
322176,215,청담삼익시장,152,"명태(러시아,냉동)",1마리,4500,Jul-12,러시아산 (생태),1,전통시장,680000,강남구
322177,215,청담삼익시장,54,오징어(냉동),1마리,2500,Jul-12,2미 \5000,1,전통시장,680000,강남구
322178,215,청담삼익시장,266,"고등어(생물,국산)",1마리,5000,Jul-12,부산,1,전통시장,680000,강남구
322323,44,이마트 역삼점,28,사과,1개,2477,Jul-12,"4입 \9,900",2,대형마트,680000,강남구
322324,44,이마트 역삼점,170,"배(신고),중급(대)",1개,3200,Jul-12,4입 \12800,2,대형마트,680000,강남구
322325,44,이마트 역삼점,26,배추,1포기,2380,Jul-12,,2,대형마트,680000,강남구
322326,44,이마트 역삼점,25,무,1개,1880,Jul-12,,2,대형마트,680000,강남구
322327,44,이마트 역삼점,272,양파(작은망),1망(2kg),4280,Jul-12,,2,대형마트,680000,강남구
322328,44,이마트 역삼점,23,상추,1봉(150g),1880,Jul-12,GAP논산양촌상추,2,대형마트,680000,강남구
322329,44,이마트 역삼점,22,오이,1개,550,Jul-12,5입 \2750,2,대형마트,680000,강남구
322330,44,이마트 역삼점,312,애호박,1개,910,Jul-12,청원,2,대형마트,680000,강남구
322331,44,이마트 역삼점,58,"쇠고기(한우,불고기)",600g(1++),27000,Jul-12,횡성,2,대형마트,680000,강남구
322332,44,이마트 역삼점,52,돼지고기(삼겹살),600g,11700,Jul-12,국내산,2,대형마트,680000,강남구
322333,44,이마트 역삼점,283,닭고기(육계),1마리(1.6kg),9800,Jul-12,치키터키,2,대형마트,680000,강남구
322334,44,이마트 역삼점,17,달걀,15구,2980,Jul-12,푸르름을 담은 계란,2,대형마트,680000,강남구
322335,44,이마트 역삼점,136,"조기(국산,생물)",1마리(18cm),1163,Jul-12,"6미 \6,980참조기",2,대형마트,680000,강남구
